#host_mono_ns,slot,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
6899236268669,6,-0.194365978,0.141489178,-0.320696682,-0.135736316,0.917144179,-0.304607093,-0.218258291
6899269590596,7,-0.195014641,0.138521969,-0.312765807,-0.136224642,0.930697501,-0.28149128,-0.189756781
6899303009137,8,-0.196208999,0.13553147,-0.307249755,-0.128317818,0.938902617,-0.277691275,-0.157746464
6899336259033,9,-0.196771249,0.133726776,-0.305135757,-0.1065249,0.942804456,-0.290317774,-0.12445008
6899386260804,10,-0.196615562,0.132613838,-0.304181904,-0.0907053873,0.944402635,-0.298084319,-0.104985543
6899419596064,11,-0.195625514,0.132128328,-0.303150177,-0.0857154205,0.947620451,-0.289648116,-0.103789754
6899452942991,12,-0.19398962,0.132972524,-0.303734958,-0.0823566169,0.949638009,-0.280974209,-0.111617878
6899486275648,13,-0.192839414,0.134991482,-0.304506779,-0.0899737999,0.950634956,-0.269633651,-0.124481328
6899519597002,14,-0.192185119,0.136741534,-0.303632766,-0.106804401,0.952295899,-0.247602299,-0.142893016
6899552940700,15,-0.192083091,0.137993634,-0.302493125,-0.120382518,0.95451802,-0.224713475,-0.154619709
6899586267523,16,-0.191919148,0.138736248,-0.301807344,-0.130376235,0.953760147,-0.210131764,-0.170845672
6899619610908,17,-0.191350251,0.139451951,-0.303438574,-0.134236693,0.949445486,-0.212384656,-0.188219428
6899652937366,18,-0.190905571,0.141882181,-0.308817327,-0.129237846,0.942862034,-0.239565894,-0.192137733
6899686262887,19,-0.189812168,0.14587684,-0.318278164,-0.120180666,0.929947078,-0.286291093,-0.19695802
6899719598981,20,-0.187774196,0.150080919,-0.330455184,-0.113775007,0.908366859,-0.335999101,-0.221426025
6900119593616,0,-0.20399034,0.153497413,-0.355591923,-0.120604612,0.89889425,-0.372834116,-0.196056977
6900152919710,1,-0.205115318,0.153143987,-0.355278999,-0.124131277,0.895415306,-0.375183225,-0.205086306
6900186281064,2,-0.205034897,0.153419599,-0.356201649,-0.124466881,0.891361296,-0.380149513,-0.213235393
6900219608772,3,-0.204294622,0.153937653,-0.357987195,-0.119634211,0.887810647,-0.387295514,-0.217903972
6900252942991,4,-0.203686804,0.154396862,-0.359797269,-0.115332514,0.886814415,-0.392401099,-0.215127945
6900286267522,5,-0.203226939,0.15467228,-0.360880077,-0.112491958,0.888768792,-0.392072797,-0.20908016
6900336263356,6,-0.202562973,0.154835224,-0.361231983,-0.111095957,0.889428139,-0.388895363,-0.212921709
6900369618824,7,-0.2021797,0.154878959,-0.361676902,-0.111701481,0.887107015,-0.390269846,-0.219666421
6900402930543,8,-0.202114031,0.154792681,-0.36191684,-0.112399787,0.885887086,-0.392306179,-0.220604211
6900436381168,9,-0.202025577,0.15464513,-0.361383945,-0.112741172,0.886850893,-0.390205711,-0.22028257
6900469603720,10,-0.201755285,0.154527411,-0.360517889,-0.113214239,0.887805879,-0.387285292,-0.221344545
6900502924814,11,-0.201184317,0.154475197,-0.359761238,-0.113443807,0.887904584,-0.385292947,-0.224288538
6900536267001,12,-0.200526804,0.154486388,-0.359124213,-0.113801077,0.888047695,-0.383755088,-0.226169407
6900569604918,13,-0.19972074,0.15458037,-0.35843879,-0.114015296,0.888661027,-0.381167471,-0.228020817
6900602931585,14,-0.198708549,0.154785663,-0.357899696,-0.113638125,0.888553858,-0.378817558,-0.232498765
6900636280856,15,-0.197697163,0.155082852,-0.357685417,-0.114627808,0.887062371,-0.378430635,-0.238266811
6900669593564,16,-0.196714193,0.15544109,-0.357696027,-0.1161419,0.885252237,-0.37859714,-0.243933871
6900702925647,17,-0.195828989,0.155826285,-0.3579759,-0.116894893,0.883906424,-0.378386527,-0.248734221
6900736263303,18,-0.195095509,0.156225994,-0.358570695,-0.115430936,0.883172274,-0.379238307,-0.250720382
6900769611481,19,-0.194620982,0.156520844,-0.359147817,-0.114369787,0.882517695,-0.379889816,-0.252518833
6900802931637,20,-0.194437578,0.156743705,-0.359630197,-0.114238881,0.881828904,-0.379926026,-0.254918486
6901219591324,0,-0.196262702,0.156728178,-0.362624288,-0.117334306,0.877174973,-0.387634456,-0.257946163
6901253034553,1,-0.196568757,0.156643301,-0.362720281,-0.117806077,0.877044618,-0.387824297,-0.257889003
6901286263460,2,-0.196831599,0.156569049,-0.362793237,-0.117927104,0.876810312,-0.388376832,-0.257799
6901319952470,3,-0.197062626,0.156516537,-0.362821758,-0.118721135,0.876416981,-0.389012963,-0.257812977
6901352918564,4,-0.197126105,0.156500369,-0.362749189,-0.119053617,0.876554728,-0.389087588,-0.257077664
6901386259918,5,-0.196976006,0.156524301,-0.362666339,-0.118936054,0.876684248,-0.388790905,-0.257139176
6901419590855,6,-0.196720004,0.156555429,-0.362676352,-0.118519291,0.876366317,-0.389211297,-0.257778555
6901452934032,7,-0.1965826,0.156561196,-0.362654746,-0.118517086,0.876262546,-0.389336169,-0.25794372
6901486271584,8,-0.196638256,0.15652217,-0.362533718,-0.11840798,0.876609087,-0.388915449,-0.25745061
6901519595230,9,-0.196960732,0.156434461,-0.362445593,-0.119461723,0.876088142,-0.38927871,-0.258187026
6901552924657,10,-0.197446451,0.156292468,-0.362467766,-0.120701447,0.875357568,-0.390349448,-0.258471668
6901586261584,11,-0.197870359,0.156168953,-0.362609565,-0.121114075,0.875156462,-0.391106009,-0.257815123
6901619596793,12,-0.198246285,0.156044632,-0.362878799,-0.12113861,0.875185788,-0.391757905,-0.25671187
6901652948564,13,-0.198465198,0.155986473,-0.363184541,-0.121275052,0.874914467,-0.392330199,-0.256698281
6901686261584,14,-0.19857575,0.155967221,-0.363536298,-0.121018074,0.874706089,-0.393176973,-0.256233871
6901719615647,15,-0.198644012,0.155952156,-0.36378473,-0.121352226,0.873966634,-0.394110113,-0.257163763
6901752937470,16,-0.198682576,0.155926004,-0.363934934,-0.121681586,0.873152614,-0.395176828,-0.258134514
6901786257574,17,-0.198707834,0.155851543,-0.363888532,-0.12157768,0.873448789,-0.395465076,-0.256736249
6901819683199,18,-0.198713079,0.155743942,-0.36363095,-0.121199876,0.874348044,-0.394655913,-0.255093694
6901852929345,19,-0.198812619,0.155617923,-0.363431871,-0.12168733,0.87427175,-0.39470467,-0.25504759
6901886331949,20,-0.198968619,0.155524045,-0.363359004,-0.122573182,0.873795629,-0.395252079,-0.255407155
6902302927834,0,-0.199065417,0.155218273,-0.362400442,-0.122919932,0.874920726,-0.394076258,-0.25319618
6902336275438,1,-0.199048221,0.155235827,-0.362496316,-0.123049468,0.874743819,-0.394246906,-0.253478616
6902369662261,2,-0.199094236,0.155236751,-0.362544,-0.123270683,0.874402165,-0.394452423,-0.254229248
6902402933720,3,-0.199255675,0.155147642,-0.362540841,-0.123780034,0.874390304,-0.394725263,-0.253598243
6902436275178,4,-0.199388266,0.155046374,-0.362404704,-0.123873107,0.87450254,-0.394351691,-0.253746927
6902469605594,5,-0.199502736,0.154924631,-0.362196833,-0.124099754,0.875524282,-0.393899143,-0.250798702
6902502939397,6,-0.199350491,0.15486683,-0.361814708,-0.123624824,0.876504421,-0.392438382,-0.249898091
6902536281740,7,-0.199159235,0.15481326,-0.361371517,-0.122991882,0.877639949,-0.391128957,-0.248272479
6902569767990,8,-0.198917121,0.15478532,-0.360956311,-0.122518532,0.878015161,-0.389964163,-0.249011233
6902602929136,9,-0.198821411,0.154738262,-0.360571891,-0.122750029,0.878596961,-0.389144152,-0.248126343
6902636270022,10,-0.198739886,0.154667854,-0.360220224,-0.122834243,0.878681898,-0.388389945,-0.248964146
6902669594865,11,-0.198804319,0.154595941,-0.360063046,-0.123951964,0.878256142,-0.388273269,-0.250091821
6902702927105,12,-0.198897168,0.154592156,-0.360165954,-0.124579817,0.877927601,-0.388840377,-0.250052273
6902736262053,13,-0.198902979,0.154622033,-0.360308617,-0.124540195,0.877772331,-0.388983518,-0.250394255
6902769943042,14,-0.198847324,0.154689074,-0.360532135,-0.124517828,0.877394557,-0.389440238,-0.251018673
6902802938199,15,-0.198702991,0.154751584,-0.360719442,-0.124727018,0.876829445,-0.38994962,-0.252096325
6902836502313,16,-0.198488384,0.154826671,-0.36079064,-0.12512663,0.87572211,-0.390333414,-0.255135059
